,x,y,z,fov_id,predicted_name,predicted_id,probability,distance
86290,1132,926,8,226,Stmn1,54,0.9864153,
86291,815,508,8,226,background,266,0.879386,
86292,746,1018,8,226,Net1,46,0.90251684,
86293,1606,789,8,226,Cadm1,119,0.79625064,
86294,679,1484,8,226,Nes,66,0.66884905,
86295,875,807,8,226,background,266,0.9998035,
86296,1623,583,8,226,background,266,0.5684894,
86297,1083,1451,8,226,Slc51a,1,0.99989283,
86298,812,1204,8,226,background,266,0.7501648,
86299,395,369,8,226,background,266,0.51117057,
86300,1384,628,8,226,Apob,45,0.71760064,
86301,624,1303,8,226,S1pr2,157,0.7128703,
86302,1582,1303,8,226,Adgrd1,36,0.5646826,
86303,913,515,8,226,Vim,58,0.8675068,
86304,616,1303,8,226,Maoa,2,0.93378013,
86305,635,575,8,226,Chrm1,173,0.94880414,
86306,1728,444,8,226,Slc51a,1,0.98667544,
86307,1753,1522,8,226,background,266,0.9995503,
86308,1237,390,8,226,Cd4,69,0.8836989,
86309,725,943,8,226,Hhex,21,0.73870206,
86310,716,1586,8,226,background,266,0.9270696,
86311,976,797,8,226,Cd79a,88,0.98454547,
86312,1798,1123,8,226,Net1,46,0.9345011,
86313,1271,678,8,226,background,266,0.99955016,
86314,1954,1278,8,226,Slc51a,1,0.99999976,
86315,1296,599,8,226,background,266,0.99833256,
86316,1856,1282,8,226,Adgrf5,23,0.9941572,
86317,1043,870,8,226,background,266,0.9999076,
86318,1725,390,8,226,Blank-18,259,0.6246925,
86319,1847,1063,8,226,Net1,46,1.0,
86320,1625,257,8,226,background,266,0.6314867,
86321,1725,549,8,226,H2-Eb1,104,0.89589435,
86322,1346,123,8,226,Ifnar1,75,0.9745555,
86323,734,614,8,226,Gpr31b,132,0.99905175,
86324,1298,431,8,226,background,266,0.9843205,
86325,1327,392,8,226,S1pr2,157,0.82077026,
86326,1823,1076,8,226,background,266,0.804145,
86327,1929,1268,8,226,Slc51a,1,0.9246048,
86328,810,1582,8,226,Ada,48,0.99999845,
86329,730,722,8,226,Tnfrsf21,122,0.9381247,
86330,1030,1431,8,226,Sdc1,92,0.9158274,
86331,1312,450,8,226,Blank-18,259,0.58738947,
86332,1212,880,8,226,Sdc1,92,0.7139473,
